date,platform,campaign_type,industry,country,impressions,clicks,CTR,CPC,ad_spend,conversions,CPA,revenue,ROAS,month,day,year,quarter,profit,cluster,segment,pca1,pca2
3/7/2024,Google Ads,Search,EdTech,UK,87152,3599,0.0413,2.63,9465.37,127,74.53,25958.5,2.74,3,7,2024,1,16493.129999999997,1,Low ROAS,-0.842664884,0.30045150909189217
8/16/2024,Meta Ads,Shopping,Fintech,UAE,164096,1919,0.0117,0.66,1266.54,139,9.11,7181.17,5.67,8,16,2024,3,5914.63,0,Medium ROAS,0.3190311530770534,-1.664179346
8/10/2024,Meta Ads,Shopping,Healthcare,Germany,21389,941,0.044,0.8,752.8,46,16.37,8479.43,11.26,8,10,2024,3,7726.63,2,High ROAS,1.0724186872818302,0.16841035934761914
4/27/2024,Google Ads,Shopping,Healthcare,India,69323,2169,0.0313,2.19,4750.11,94,50.53,16337.12,3.44,4,27,2024,2,11587.010000000002,0,Medium ROAS,-0.44894029,-0.366571984
5/17/2024,Google Ads,Display,SaaS,UAE,138291,3318,0.024,0.83,2753.94,217,12.69,12761.51,4.63,5,17,2024,2,10007.57,0,Medium ROAS,0.25466113102734034,-0.92946951
11/29/2024,TikTok Ads,Shopping,EdTech,UK,72444,2339,0.0323,1.39,3251.21,153,21.25,12919.22,3.97,11,29,2024,4,9668.009999999998,0,Medium ROAS,0.11169804237510687,-0.413377093
12/4/2024,Google Ads,Search,Healthcare,UAE,160002,7520,0.047,2.96,22259.2,403,55.23,70823.58,3.18,12,4,2024,4,48564.380000000005,0,Medium ROAS,-0.419624169,0.560182895886673
8/12/2024,Meta Ads,Search,E-commerce,USA,16246,448,0.0276,1.99,891.52,8,111.44,1955.09,2.19,8,12,2024,3,1063.57,1,Low ROAS,-1.645005119,-0.361302979
6/5/2024,Meta Ads,Shopping,Fintech,Germany,15789,423,0.0268,1.81,765.63,7,109.38,1223.95,1.6,6,5,2024,2,458.32000000000005,1,Low ROAS,-1.679936809,-0.408186942
6/5/2024,Google Ads,Search,EdTech,Australia,25103,710,0.0283,2.34,1661.4,24,69.23,1896.75,1.14,6,5,2024,2,235.3499999999999,0,Medium ROAS,-1.036435045,-0.452151344
12/28/2024,TikTok Ads,Display,SaaS,India,138515,4377,0.0316,0.51,2232.27,285,7.83,10321.59,4.62,12,28,2024,4,8089.32,0,Medium ROAS,0.4019375376457872,-0.506206735
2/20/2024,Meta Ads,Search,EdTech,Australia,180399,6025,0.0334,0.7,4217.5,191,22.08,17456.79,4.14,2,20,2024,1,13239.29,0,Medium ROAS,0.12532385001988186,-0.348778501
5/16/2024,Meta Ads,Video,E-commerce,UAE,62545,606,0.0097,1.96,1187.76,37,32.1,5627.66,4.74,5,16,2024,2,4439.9,0,Medium ROAS,-0.186460321,-1.692164248
6/30/2024,Google Ads,Shopping,Fintech,Canada,72526,2146,0.0296,1.56,3347.76,168,19.93,25859.74,7.72,6,30,2024,2,22511.980000000003,0,Medium ROAS,0.5099281705355841,-0.614353593
7/7/2024,Meta Ads,Display,EdTech,Australia,67823,2075,0.0306,1.83,3797.25,26,146.05,4093.91,1.08,7,7,2024,3,296.65999999999985,1,Low ROAS,-2.322823309,-0.05888942
6/23/2024,Meta Ads,Display,E-commerce,India,164937,4453,0.027,1.08,4809.24,129,37.28,35127.5,7.3,6,23,2024,2,30318.260000000002,0,Medium ROAS,0.14897736755931756,-0.701588034
12/14/2024,Meta Ads,Search,EdTech,UK,114575,2039,0.0178,0.53,1080.67,113,9.56,10656.96,9.86,12,14,2024,4,9576.289999999999,0,Medium ROAS,0.8107014975294888,-1.354924315
6/13/2024,Google Ads,Shopping,Fintech,Germany,132157,2999,0.0227,0.93,2789.07,152,18.35,21855.26,7.84,6,13,2024,2,19066.19,0,Medium ROAS,0.48943677692044213,-1.020074258
1/11/2024,TikTok Ads,Video,Healthcare,Germany,108145,3882,0.0359,0.94,3649.08,98,37.24,28726.52,7.87,1,11,2024,1,25077.440000000002,0,Medium ROAS,0.28776232555199766,-0.19308765
4/29/2024,TikTok Ads,Search,SaaS,India,72642,3014,0.0415,1.16,3496.24,59,59.26,15070.44,4.31,4,29,2024,2,11574.2,0,Medium ROAS,-0.415311351,0.24352646033644146
4/7/2024,TikTok Ads,Display,Healthcare,UAE,131678,8374,0.0636,0.91,7620.34,505,15.09,29682.01,3.9,4,7,2024,2,22061.67,2,High ROAS,0.48070258977415775,1.3769271728493206
5/13/2024,Google Ads,Video,E-commerce,Australia,34402,1314,0.0382,3.29,4323.06,17,254.3,1273.24,0.29,5,13,2024,2,-3049.82,1,Low ROAS,-4.17274262,0.7549816842747427
10/8/2024,Meta Ads,Video,Healthcare,Germany,58276,1183,0.0203,1.49,1762.67,89,19.81,20273.71,11.5,10,8,2024,4,18511.04,0,Medium ROAS,0.8336459353008769,-1.193336563
8/14/2024,Google Ads,Shopping,EdTech,Canada,168059,3462,0.0206,3.08,10662.96,154,69.24,33243.77,3.12,8,14,2024,3,22580.809999999998,0,Medium ROAS,-0.892701588,-0.918784221
8/16/2024,Meta Ads,Video,Fintech,Canada,91123,1567,0.0172,2.33,3651.11,64,57.05,5119.1,1.4,8,16,2024,3,1467.9900000000002,0,Medium ROAS,-0.899163269,-1.138121986
5/28/2024,Meta Ads,Shopping,Fintech,Australia,16344,452,0.0277,0.9,406.8,5,81.36,1102.53,2.71,5,28,2024,2,695.73,0,Medium ROAS,-1.079720918,-0.462759076
3/26/2024,TikTok Ads,Video,SaaS,UAE,99457,5808,0.0584,1.6,9292.8,80,116.16,12231.1,1.32,3,26,2024,1,2938.300000000001,1,Low ROAS,-1.549667771,1.4454548733014603
6/7/2024,Meta Ads,Video,E-commerce,India,57375,843,0.0147,1.61,1357.23,40,33.93,9739.81,7.18,6,7,2024,2,8382.58,0,Medium ROAS,0.08591546677765544,-1.423039
4/17/2024,Google Ads,Display,E-commerce,UAE,115017,2771,0.0241,2.56,7093.76,95,74.67,22528.38,3.18,4,17,2024,2,15434.62,0,Medium ROAS,-0.947762373,-0.698643886
9/28/2024,Meta Ads,Search,EdTech,USA,90431,1853,0.0205,1.7,3150.1,57,55.26,14834.93,4.71,9,28,2024,3,11684.83,0,Medium ROAS,-0.487657432,-0.988917126
3/13/2024,Meta Ads,Search,E-commerce,USA,140566,5046,0.0359,0.62,3128.52,384,8.15,59980.19,19.17,3,13,2024,1,56851.670000000006,2,High ROAS,1.9834906027202772,-0.412975722
2/28/2024,Meta Ads,Search,EdTech,Germany,133583,3954,0.0296,0.65,2570.1,255,10.08,31756.12,12.36,2,28,2024,1,29186.02,0,Medium ROAS,1.1707755192274867,-0.697564869
4/8/2024,Google Ads,Video,E-commerce,USA,198555,13104,0.066,2.46,32235.84,336,95.94,58794.32,1.82,4,8,2024,2,26558.48,1,Low ROAS,-1.088143915,1.8113262992301797
9/23/2024,Meta Ads,Display,Healthcare,UK,88560,1319,0.0149,0.52,685.88,81,8.47,8584.02,12.52,9,23,2024,3,7898.14,0,Medium ROAS,1.087215287284566,-1.554962986
6/24/2024,Google Ads,Display,Fintech,UAE,117217,5602,0.0478,3.49,19550.98,411,47.57,75729.26,3.87,6,24,2024,2,56178.28,0,Medium ROAS,-0.209553919,0.5731455305181649
8/24/2024,Meta Ads,Shopping,Fintech,UAE,104616,4048,0.0387,1.77,7164.96,233,30.75,45906.84,6.41,8,24,2024,3,38741.88,0,Medium ROAS,0.266452550417913,-0.037358911
2/14/2024,TikTok Ads,Video,Healthcare,Canada,79553,2712,0.0341,0.31,840.72,170,4.95,16973.79,20.19,2,14,2024,1,16133.070000000002,2,High ROAS,2.1306183835529247,-0.538874796
8/20/2024,Google Ads,Search,Fintech,USA,170904,4751,0.0278,1.12,5321.12,326,16.32,44297.15,8.32,8,20,2024,3,38976.03,0,Medium ROAS,0.6192643633632219,-0.737118893
7/14/2024,Google Ads,Search,Healthcare,India,88807,4999,0.0563,2.37,11847.63,348,34.04,103474.34,8.73,7,14,2024,3,91626.70999999999,2,High ROAS,0.6109232880747838,0.9667648818633309
8/14/2024,Meta Ads,Shopping,EdTech,Canada,157499,1574,0.01,1.76,2770.24,45,61.56,13465.06,4.86,8,14,2024,3,10694.82,0,Medium ROAS,-0.66961382,-1.576553984
9/27/2024,Meta Ads,Search,E-commerce,Australia,46846,983,0.021,0.72,707.76,11,64.34,2501.87,3.53,9,27,2024,3,1794.11,0,Medium ROAS,-0.762636697,-0.916617996
9/18/2024,TikTok Ads,Search,Fintech,Germany,104986,6131,0.0584,0.36,2207.16,219,10.08,57679.5,26.13,9,18,2024,3,55472.34,2,High ROAS,2.887750259839036,0.8200377914921593
5/24/2024,Meta Ads,Shopping,EdTech,India,172516,6314,0.0366,0.72,4546.08,335,13.57,82096.8,18.06,5,24,2024,2,77550.72,2,High ROAS,1.779642777093074,-0.342229642
8/23/2024,Meta Ads,Display,E-commerce,India,187099,2469,0.0132,0.83,2049.27,103,19.9,3413.17,1.67,8,23,2024,3,1363.9,0,Medium ROAS,-0.276518209,-1.497919323
4/4/2024,Google Ads,Shopping,SaaS,India,111661,3930,0.0352,0.84,3301.2,310,10.65,21226.88,6.43,4,4,2024,2,17925.68,0,Medium ROAS,0.5782892354523737,-0.307932159
6/9/2024,Meta Ads,Display,EdTech,Germany,79441,3082,0.0388,0.53,1633.46,100,16.33,29391.59,17.99,6,9,2024,2,27758.13,2,High ROAS,1.7446145338881662,-0.204903772
4/15/2024,Google Ads,Display,SaaS,Australia,14078,763,0.0542,2.26,1724.38,57,30.25,16289.72,9.45,4,15,2024,2,14565.34,2,High ROAS,0.7334764386225372,0.8247483712252981
1/7/2024,Meta Ads,Shopping,Fintech,Australia,182235,5047,0.0277,0.74,3734.78,260,14.36,53450.65,14.31,1,7,2024,1,49715.87,0,Medium ROAS,1.289496612211307,-0.813978684
2/24/2024,Meta Ads,Video,SaaS,Canada,128629,2109,0.0164,1.29,2720.61,168,16.19,49256.62,18.1,2,24,2024,1,46536.01,0,Medium ROAS,1.5638861444852914,-1.502158294
4/2/2024,Meta Ads,Display,Fintech,Canada,21309,432,0.0203,1.66,717.12,15,47.81,4449.98,6.21,4,2,2024,2,3732.8599999999997,0,Medium ROAS,-0.203573143,-1.041799705
9/6/2024,Google Ads,Search,Fintech,USA,167932,6717,0.04,2.46,16523.82,247,66.9,38475.06,2.33,9,6,2024,3,21951.239999999998,0,Medium ROAS,-0.768515709,0.20388928380027949
1/8/2024,TikTok Ads,Search,Fintech,UK,162795,8107,0.0498,0.96,7782.72,575,13.54,86383.64,11.1,1,8,2024,1,78600.92,2,High ROAS,1.1537124844900704,0.4960362745994257
8/18/2024,Meta Ads,Search,EdTech,UK,50893,1124,0.0221,1.41,1584.84,29,54.65,2707.5,1.71,8,18,2024,3,1122.66,0,Medium ROAS,-0.78291864,-0.866155533
9/22/2024,TikTok Ads,Display,SaaS,UAE,81619,3623,0.0444,0.47,1702.81,222,7.67,46448.44,27.28,9,22,2024,3,44745.630000000005,2,High ROAS,2.929250821624327,-0.010228668
7/25/2024,Meta Ads,Search,EdTech,Germany,154381,1698,0.011,1.85,3141.3,70,44.88,19750.24,6.29,7,25,2024,3,16608.940000000002,0,Medium ROAS,-0.226351662,-1.590465873
1/12/2024,Google Ads,Search,Fintech,India,124273,3603,0.029,1.55,5584.65,167,33.44,20460.25,3.66,1,12,2024,1,14875.6,0,Medium ROAS,-0.15630458,-0.559718979
12/1/2024,Meta Ads,Video,Healthcare,Germany,6969,176,0.0253,1.08,190.08,10,19.01,2562.91,13.48,12,1,2024,4,2372.83,0,Medium ROAS,1.101538525522205,-0.92814885
5/24/2024,TikTok Ads,Display,SaaS,UK,29089,1076,0.037,0.65,699.4,40,17.48,8233.32,11.77,5,24,2024,2,7533.92,2,High ROAS,1.0470704482086899,-0.238200738
7/10/2024,Google Ads,Shopping,SaaS,UK,10704,489,0.0457,1.71,836.19,36,23.23,5339.04,6.38,7,10,2024,3,4502.85,2,High ROAS,0.4513951351840653,0.3424270168441701
12/4/2024,TikTok Ads,Search,E-commerce,Australia,22772,1045,0.0459,0.95,992.75,38,26.12,5743.6,5.79,12,4,2024,4,4750.85,0,Medium ROAS,0.34139309815799423,0.3701090273111295
4/11/2024,Google Ads,Search,Fintech,Germany,68449,3285,0.048,2.38,7818.3,243,32.17,60681.21,7.76,4,11,2024,2,52862.909999999996,2,High ROAS,0.46707897094441947,0.4908178604869332
10/26/2024,Google Ads,Search,SaaS,UAE,51819,2497,0.0482,2.88,7191.36,138,52.11,37600.62,5.23,10,26,2024,4,30409.260000000002,0,Medium ROAS,-0.138064502,0.5969888628515934
11/19/2024,Google Ads,Video,Fintech,Australia,173722,3821,0.022,1.54,5884.34,201,29.28,44895.5,7.63,11,19,2024,4,39011.16,0,Medium ROAS,0.2760188934691938,-1.021367986
12/15/2024,Google Ads,Shopping,SaaS,USA,119014,5938,0.0499,2.88,17101.44,95,180.02,23773.95,1.39,12,15,2024,4,6672.510000000002,1,Low ROAS,-2.696820428,1.1688609843817659
5/20/2024,Google Ads,Search,SaaS,Australia,159741,6868,0.043,1.37,9409.16,336,28,33272.11,3.54,5,20,2024,2,23862.95,0,Medium ROAS,0.0447327429796645,0.2329383062698018
2/29/2024,Google Ads,Shopping,Fintech,Germany,167982,7693,0.0458,2.64,20309.52,193,105.23,10777.69,0.53,2,29,2024,1,-9531.83,1,Low ROAS,-1.558419577,0.688247443675327
6/8/2024,Google Ads,Video,Fintech,Germany,96658,2822,0.0292,3.37,9510.14,112,84.91,25060.16,2.64,6,8,2024,2,15550.02,1,Low ROAS,-1.134205981,-0.363251111
1/19/2024,Meta Ads,Video,EdTech,India,43467,991,0.0228,1.9,1882.9,25,75.32,3146.23,1.67,1,19,2024,1,1263.33,0,Medium ROAS,-1.130882822,-0.7553907
1/5/2024,Google Ads,Search,EdTech,UK,41378,2023,0.0489,1.23,2488.29,73,34.09,9343.63,3.76,1,5,2024,1,6855.339999999999,0,Medium ROAS,0.016415711370260034,0.5924013232264361
10/26/2024,TikTok Ads,Video,EdTech,India,100673,5718,0.0568,1.05,6003.9,196,30.63,41067.13,6.84,10,26,2024,4,35063.229999999996,2,High ROAS,0.47169365231397004,1.0044980875805087
12/13/2024,TikTok Ads,Shopping,Healthcare,Australia,191994,14898,0.0776,1.08,16089.84,936,17.19,60355.75,3.75,12,13,2024,4,44265.91,2,High ROAS,0.5509478072759334,2.1953860395258706
5/21/2024,TikTok Ads,Display,EdTech,UK,152235,6104,0.0401,0.73,4455.92,252,17.68,48424.44,10.87,5,21,2024,2,43968.520000000004,2,High ROAS,0.9747968034748331,-0.048539371
12/7/2024,Meta Ads,Video,Fintech,Australia,66929,1539,0.023,1.21,1862.19,38,49.01,9540.22,5.12,12,7,2024,4,7678.029999999999,0,Medium ROAS,-0.316483229,-0.869850455
5/9/2024,Google Ads,Video,SaaS,Canada,188202,7189,0.0382,1.15,8267.35,376,21.99,88923.49,10.76,5,9,2024,2,80656.14,0,Medium ROAS,0.8736207426920435,-0.142686094
1/25/2024,Google Ads,Video,Fintech,USA,184316,4091,0.0222,1.04,4254.64,309,13.77,82363.46,19.36,1,25,2024,1,78108.82,0,Medium ROAS,1.7894712738474692,-1.188426208
9/10/2024,Google Ads,Video,Healthcare,Canada,65545,3355,0.0512,1.77,5938.35,196,30.3,57936.29,9.76,9,10,2024,3,51997.94,2,High ROAS,0.7395542596422525,0.6480641439416504
6/4/2024,Google Ads,Video,Healthcare,USA,33141,798,0.0241,3.29,2625.42,42,62.51,7236.65,2.76,6,4,2024,2,4611.23,0,Medium ROAS,-0.786712306,-0.735215108
7/9/2024,Meta Ads,Video,Healthcare,Germany,76229,1562,0.0205,1.01,1577.62,30,52.59,4290.5,2.72,7,9,2024,3,2712.88,0,Medium ROAS,-0.65440833,-0.976526939
11/9/2024,TikTok Ads,Search,SaaS,Australia,141614,10677,0.0754,0.35,3736.95,305,12.25,62355.52,16.69,11,9,2024,4,58618.57,2,High ROAS,1.9935192305844502,1.9122116940989382
7/14/2024,Meta Ads,Shopping,Healthcare,UK,161193,4916,0.0305,1.37,6734.92,377,17.86,91408.9,13.57,7,14,2024,3,84673.98,0,Medium ROAS,1.17580893986441,-0.632239493
2/17/2024,Google Ads,Search,SaaS,Germany,142244,4935,0.0347,2.98,14706.3,127,115.8,34307.21,2.33,2,17,2024,1,19600.91,1,Low ROAS,-1.642129483,0.06258194251800607
3/27/2024,Meta Ads,Search,Fintech,UAE,178063,1851,0.0104,0.45,832.95,64,13.01,7044.13,8.46,3,27,2024,1,6211.18,0,Medium ROAS,0.5388608478570422,-1.756212171
1/28/2024,Google Ads,Video,Fintech,Australia,193978,5780,0.0298,1.73,9999.4,177,56.49,42071.17,4.21,1,28,2024,1,32071.769999999997,0,Medium ROAS,-0.480840226,-0.441476287
2/18/2024,Meta Ads,Display,SaaS,Canada,187051,6284,0.0336,2.01,12630.84,493,25.62,94906.46,7.51,2,18,2024,1,82275.62000000001,0,Medium ROAS,0.4260610487274638,-0.36150987
1/11/2024,Meta Ads,Video,EdTech,UK,152977,5491,0.0359,1.35,7412.85,147,50.43,9232.39,1.25,1,11,2024,1,1819.539999999999,0,Medium ROAS,-0.640476314,-0.077285105
5/1/2024,Google Ads,Display,E-commerce,UAE,129447,4310,0.0333,2.7,11637,211,55.15,16618.47,1.43,5,1,2024,2,4981.470000000001,0,Medium ROAS,-0.723793646,-0.213654226
1/22/2024,Google Ads,Shopping,Fintech,USA,28387,672,0.0237,3.32,2231.04,41,54.42,7232.57,3.24,1,22,2024,1,5001.53,0,Medium ROAS,-0.60216663,-0.790852922
4/27/2024,Meta Ads,Shopping,Fintech,Australia,88986,1308,0.0147,0.75,981,80,12.26,21439.34,21.85,4,27,2024,2,20458.34,0,Medium ROAS,2.0149814922923546,-1.654115182
1/10/2024,Google Ads,Video,SaaS,UK,170268,7917,0.0465,3.14,24859.38,98,253.67,22672.12,0.91,1,10,2024,1,-2187.26,1,Low ROAS,-4.023866479,1.226246854367365
1/20/2024,Google Ads,Display,Healthcare,USA,122322,6152,0.0503,1.23,7566.96,155,48.82,10417.89,1.38,1,20,2024,1,2850.9299999999994,0,Medium ROAS,-0.474149179,0.7487599803200852
2/7/2024,Meta Ads,Display,Healthcare,UK,69429,2430,0.035,1.59,3863.7,119,32.47,21584.01,5.59,2,7,2024,1,17720.309999999998,0,Medium ROAS,0.1178368697537884,-0.236728529
6/7/2024,Meta Ads,Display,SaaS,Canada,196675,4031,0.0205,1.97,7941.07,186,42.69,27686.79,3.49,6,7,2024,2,19745.72,0,Medium ROAS,-0.404868856,-1.018265753
